dataset,model,run_id,stage_name,wall_clock_seconds,share_of_profiled_time,rss_start_mb,rss_end_mb,rss_delta_mb,status
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_requirements,8.58000130392611e-05,1.3652861698580667e-07,137.47265625,137.47265625,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache,0.1803762000054121,0.00028702225386172564,180.61328125,180.7109375,0.09765625,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache_policy,1.92999723367393e-05,3.071093392251117e-08,136.92578125,136.92578125,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,validate_model_config,0.00013209995813667774,2.1020305183439505e-07,136.8359375,136.92578125,0.08984375,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_config_snapshot,0.17421149997971952,0.0002772127219184724,137.47265625,137.62109375,0.1484375,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_kernel_profile,0.0645467999856919,0.00010270960365557882,255.93359375,255.93359375,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_metrics_json,0.04089969996130094,6.508133592352373e-05,274.765625,274.78515625,0.01953125,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_performance_profile,0.05009500001324341,7.971328706654693e-05,276.11328125,272.8125,-3.30078125,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_run_manifest,0.39670609997119755,0.0006312555588321062,137.625,137.6328125,0.0078125,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_run_manifest,0.0368843000032939,5.869186133613982e-05,274.78515625,274.7890625,0.00390625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_fit_artifacts,0.00014920003013685346,6.724405719817986e-06,192.52734375,192.52734375,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_model_config,9.55999712459743e-05,4.308665305705427e-06,192.44140625,192.44140625,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_rating_metrics,0.7189239000435919,0.03240170917614894,238.4296875,241.92578125,3.49609375,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,fit_model,14.73108559998218,0.6639261143364914,192.52734375,219.98828125,27.4609375,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,initialize_model,8.019997039809823e-05,3.6145913588592144e-06,192.52734375,192.52734375,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_ratings_data,0.6931844999780878,0.03124164125346555,137.421875,180.49609375,43.07421875,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_test_ratings,4.380004247650504e-05,1.974056277918475e-06,192.44140625,192.44140625,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_train_ratings,9.129999671131372e-05,4.114866595816285e-06,192.44140625,192.44140625,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_validation_ratings,4.710000939667225e-05,2.1227849102976274e-06,192.44140625,192.44140625,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_test,0.13045870000496507,0.005879738949842994,236.5078125,238.421875,1.9140625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_train,1.370138099999167,0.06175176015798391,223.05859375,232.25390625,9.1953125,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_validation,0.16778789996169508,0.007562156074524672,232.25390625,236.5078125,4.25390625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_dataset_manifest,0.010108499962370843,0.00045558740774648423,136.58203125,136.58984375,0.0078125,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_experiment_config,0.04415879998123273,0.0019902253833442964,136.48828125,136.58203125,0.09375,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_profile,0.012912000005599111,0.0005819404098799442,136.58984375,136.60546875,0.015625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_requirements,0.00013010000111535192,5.863572486184813e-06,137.21484375,137.21484375,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache,3.435628800012637,0.1548428772620595,180.49609375,192.44140625,11.9453125,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache_policy,2.2500054910779e-05,1.0140714971671378e-06,136.703125,136.703125,0.0,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,validate_model_config,0.00017899996601045132,8.067480912596608e-06,136.60546875,136.703125,0.09765625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_config_snapshot,0.10088360001100227,0.004546797050426656,137.21484375,137.375,0.16015625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_kernel_profile,0.06027640000684187,0.0027166413344840656,223.05078125,223.05859375,0.0078125,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_metrics_json,0.07404999999562278,0.0033374138267019855,241.96484375,242.02734375,0.0625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_performance_profile,0.06319640000583604,0.002848244958672978,244.0703125,244.078125,0.0078125,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_run_manifest,0.4342025999794714,0.019569395825078984,137.3828125,137.421875,0.0390625,completed
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_run_manifest,0.14000419998774305,0.006309952098083237,242.02734375,242.03515625,0.0078125,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_cb_diagnostics,0.7649727000389248,0.0009732209090046753,285.78125,284.09765625,-1.68359375,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_cluster_artifacts,0.374511799949687,0.00047646499589000383,180.9921875,187.11328125,6.12109375,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_explicit_feedback_index,0.3902393000316806,0.0004964739869630057,191.0703125,197.2578125,6.1875,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_fit_artifacts,1.450626200006809,0.0018455295841600461,180.9921875,199.01953125,18.02734375,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_model_config,8.969998452812433e-05,1.1411897506371719e-07,180.8984375,180.90234375,0.00390625,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_rating_metrics,0.2833820999949239,0.0003605270945468775,284.26953125,285.625,1.35546875,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_training_indices,0.8118982999585569,0.0010329210460253168,187.11328125,197.2578125,10.14453125,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_user_cluster_history_index,0.26411029999144375,0.00033600894021720157,197.2578125,199.01953125,1.76171875,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_user_history_index,0.42155369999818504,0.0005363130933765896,187.11328125,191.0703125,3.95703125,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,fit_model,777.1392291000229,0.9886995273549395,199.01953125,260.171875,61.15234375,completed
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,initialize_model,5.720002809539437e-05,7.277156862625301e-08,199.01953125,199.01953125,0.0,completed
